id,house_no,street_name,city,state
1,602,Main,Gainesville,Florida
2,4,Vermont,Melbourne,Florida
3,44,Emmet,Baton Rouge,Louisiana
4,509,Drewry,Shreveport,Louisiana
5,20832,Dahle,Pensacola,Florida
6,939,Scott,Philadelphia,Pennsylvania
7,129,Lillian,Alexandria,Louisiana
8,22,Warner,Jacksonville,Florida
9,9375,Montana,Orlando,Florida
10,250,Crest Line,New Castle,Pennsylvania
11,282,Heath,Lafayette,Louisiana
12,13,Packers,Miami,Florida
13,9,Green Ridge,Shreveport,Louisiana
14,82,Lake View,Philadelphia,Pennsylvania
15,7352,Petterle,Port Charlotte,Florida
16,3,Bluejay,Miami,Florida
17,8297,School,Shreveport,Louisiana
18,6554,Forest Run,Lafayette,Louisiana
19,37,Glendale,Fort Lauderdale,Florida
20,8496,Schiller,Erie,Pennsylvania
21,055,Center,Pompano Beach,Florida
22,9,Duke,Pensacola,Florida
23,2,Prairieview,Largo,Florida
24,025,Dixon,Fort Pierce,Florida
25,38,Park Meadow,North Las Vegas,Nevada
26,775,Tennessee,Vero Beach,Florida
27,8516,Nevada,Fort Lauderdale,Florida
28,57732,Charing Cross,West Palm Beach,Florida
29,8,Oneill,Daytona Beach,Florida
30,700,Hovde,Las Vegas,Nevada
31,9532,Grover,Pittsburgh,Pennsylvania
32,3421,Browning,Pensacola,Florida
33,27305,Merrick,Miami,Florida
34,0,Maple,Baton Rouge,Louisiana
35,35243,Lukken,Reading,Pennsylvania
36,456,Mcbride,Lancaster,Pennsylvania
37,2,Dorton,Pittsburgh,Pennsylvania
38,281,Shopko,Tampa,Florida
39,85528,Twin Pines,Pittsburgh,Pennsylvania
40,18386,Pennsylvania,Erie,Pennsylvania
41,55,Prairie Rose,Orlando,Florida
42,1308,Florence,Pittsburgh,Pennsylvania
43,67,Hanson,New Orleans,Louisiana
44,29453,Sycamore,Tampa,Florida
45,161,Summerview,Lake Worth,Florida
46,98,North,Miami,Florida
47,69580,Spohn,Lake Charles,Louisiana
48,419,Del Sol,Saint Petersburg,Florida
49,820,Monica,Scranton,Pennsylvania
50,178,Lotheville,Lancaster,Pennsylvania
51,68,Westridge,Lafayette,Louisiana
52,23155,Marquette,Las Vegas,Nevada
53,48,Cambridge,Wilkes Barre,Pennsylvania
54,295,Kropf,Miami,Florida
55,5,Blaine,Scranton,Pennsylvania
56,75,Melvin,Pittsburgh,Pennsylvania
57,60504,1st,Miami,Florida
58,7462,Glacier Hill,Jacksonville,Florida
59,27,Waywood,Daytona Beach,Florida
60,23222,Granby,Orlando,Florida
