id,name,dob,fee,scholarship,admission_date
1,Vicki,2002-07-02T14:58:38Z,28968,0,2013-07-01T17:42:42Z
2,Natal,2002-02-02T03:17:12Z,26559,6579,2011-11-27T05:56:36Z
3,Forrest,1999-07-08T09:00:06Z,28696,0,2008-02-21T23:01:25Z
4,Georgeanne,1999-01-17T17:42:01Z,27961,0,2013-01-24T01:53:16Z
5,Taite,2000-07-22T13:14:36Z,28884,6681,2012-08-19T02:32:53Z
6,Kristofor,1999-09-12T02:02:49Z,25723,0,2008-11-11T09:16:22Z
7,Allianora,1999-09-30T17:02:48Z,28112,0,2010-02-05T18:32:17Z
8,Billye,2001-07-26T04:28:11Z,25337,0,2008-03-21T00:47:16Z
9,Otha,2002-10-16T05:07:40Z,27901,6898,2013-11-25T03:54:25Z
10,Gilligan,2002-03-18T17:23:54Z,29640,0,2015-08-28T18:24:53Z
11,Ann,1999-02-02T23:10:57Z,25794,0,2006-06-23T23:29:15Z
12,Inigo,2001-02-14T17:21:01Z,25510,0,2004-11-18T12:01:38Z
13,Sandor,2002-11-25T09:24:28Z,26777,0,2010-02-18T23:00:21Z
14,Betti,1999-05-25T10:10:09Z,28468,0,2005-02-17T12:17:34Z
15,Lorant,2001-08-07T05:21:51Z,25576,6999,2012-12-06T12:36:57Z
16,Bennie,1999-06-26T16:14:21Z,28460,0,2006-03-14T20:43:48Z
17,Innis,2000-11-20T19:56:13Z,27887,6628,2011-03-28T22:20:15Z
18,Pammy,2001-05-23T17:37:23Z,29245,0,2010-09-06T06:00:45Z
19,Fair,2002-09-24T04:56:00Z,27414,0,2008-06-04T14:03:23Z
20,Cam,2002-09-04T07:06:30Z,25584,0,2012-11-24T17:40:11Z
21,Carmelita,2001-06-23T11:26:03Z,26638,0,2013-08-15T04:49:49Z
22,Graig,2002-03-19T23:41:30Z,28966,0,2013-10-18T22:37:31Z
23,Jenda,2001-06-04T10:15:24Z,29493,6527,2013-10-27T02:23:30Z
24,Milka,1999-04-17T17:26:29Z,27622,0,2014-10-20T16:09:07Z
25,Janine,2002-01-23T16:12:01Z,25161,0,2004-01-17T19:23:58Z
26,Pollyanna,2002-02-11T12:18:57Z,28205,0,2012-09-12T02:01:08Z
27,Chaim,2000-03-11T11:51:06Z,28465,0,2009-03-13T19:48:44Z
28,Eleanor,1999-12-17T03:08:41Z,27675,0,2008-08-14T17:59:26Z
29,Lura,1999-07-26T18:25:11Z,28263,6731,2013-03-22T14:33:17Z
30,Mel,2002-02-19T12:22:49Z,25801,0,2010-02-27T08:51:48Z
31,Stacee,2001-11-10T01:55:36Z,28637,0,2004-01-02T10:05:57Z
32,Sarajane,2001-10-30T17:24:38Z,25906,0,2014-04-13T13:45:36Z
33,Vladamir,2000-07-22T09:32:28Z,25701,0,2014-11-10T14:02:05Z
34,Dennet,2002-03-19T21:48:50Z,25143,6937,2014-08-27T09:01:01Z
35,Paulie,1999-02-01T04:57:50Z,28845,0,2008-10-27T12:35:12Z
36,Gusella,2000-03-15T02:55:41Z,25656,0,2015-11-16T19:28:34Z
37,Aubrey,1999-03-23T08:26:43Z,27976,0,2014-08-06T23:03:00Z
38,Gaby,2001-11-16T19:49:00Z,29588,0,2008-03-29T14:07:34Z
39,Deina,2002-09-05T02:26:02Z,28525,0,2011-05-21T09:41:39Z
40,Glennis,1999-11-15T16:48:07Z,29235,0,2015-08-04T04:52:33Z
41,Alexei,2002-12-02T11:54:56Z,29829,0,2015-09-11T06:23:13Z
42,Xaviera,2000-01-05T15:06:38Z,28829,0,2011-07-09T03:30:37Z
43,Vinnie,2000-06-29T05:13:44Z,26782,0,2014-02-09T11:56:25Z
44,Cris,2002-10-17T00:15:05Z,28370,0,2014-12-23T00:58:41Z
45,Jules,2001-12-15T01:29:03Z,25290,6975,2015-10-18T01:52:11Z
46,Gerik,2001-10-10T03:49:00Z,26623,0,2015-01-29T00:11:09Z
47,Otha,2002-06-07T19:23:02Z,29635,6904,2013-12-20T19:52:51Z
48,Monika,1999-04-14T23:02:08Z,28439,0,2005-06-28T02:03:23Z
49,Hasty,2002-06-03T18:24:21Z,25222,0,2004-10-08T20:18:59Z
50,Ban,2002-01-28T16:44:02Z,27654,0,2006-09-07T23:23:38Z
51,Darcy,2001-07-30T23:47:25Z,28385,0,2004-07-03T10:19:12Z
52,Sallyanne,1999-04-22T09:26:36Z,28839,0,2011-08-23T09:57:06Z
53,Lars,2000-06-10T01:11:08Z,25666,6691,2011-11-11T20:56:19Z
54,Kacie,2000-08-08T14:22:43Z,29689,0,2006-06-11T17:28:49Z
55,Rex,2001-07-17T05:02:06Z,28910,0,2004-06-13T08:05:11Z
56,Jacinda,2002-02-15T06:21:04Z,25716,6817,2012-07-22T04:04:04Z
57,Merlina,1999-07-01T00:12:49Z,25020,0,2006-09-22T22:06:11Z
58,Butch,1999-03-25T21:44:40Z,25313,0,2008-10-04T21:09:04Z
59,Dilly,2001-02-21T20:50:02Z,29025,6831,2004-03-20T21:28:35Z
60,Chrystal,2000-11-26T12:04:42Z,26184,0,2015-12-10T02:04:47Z
